10.6084	DataCite
10.1109	Crossref
10.11583	DataCite
10.11587	DataCite
10.15151	DataCite
10.15152	DataCite
10.15156	DataCite
10.15493	DataCite
10.1594	DataCite
10.17026	DataCite
10.17043	DataCite
10.17044	DataCite
10.17045	DataCite
10.17605	DataCite
10.17771	Crossref
10.17870	DataCite
10.18434	DataCite
10.18710	DataCite
10.13039	Crossref
10.20350	DataCite
10.22033	DataCite
10.23642	DataCite
10.25504	DataCite
10.3233	Crossref
10.3334	DataCite
10.34636	DataCite
10.34691	DataCite
10.34848	DataCite
10.4225	DataCite
10.48804	DataCite
10.5067	DataCite
10.5255	DataCite
10.5279	DataCite
10.5286	DataCite
10.5445	DataCite
10.5676	DataCite
10.5683	DataCite
10.5878	DataCite
10.5880	DataCite
10.6075	DataCite
10.7280	DataCite
10.7288	DataCite
10.7483	DataCite
10.7910	DataCite
10.1051	Crossref
